QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20212,04560743,1,0,1,120,D,1,D,02,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04561233,1,0,2,100,D,1,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04561423,1,0,2,220,D,1,D,02,D,,H,,A,,H,220,D,180,D,,A,,A,,A,,A,,A,,A,,A
20212,04561423,1,1,2,120,D,1,D,02,D,71,E,,A,400,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04561423,1,2,2,140,D,1,D,02,D,329,E,,A,300,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04561983,1,0,1,120,D,1,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04562713,1,0,1,160,D,1,D,03,D,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04563623,1,0,1,220,D,1,D,04,D,,H,,A,,A,160,D,120,D,,A,,A,,A,,A,,A,,A,,A
20212,04563623,1,1,1,160,D,1,D,04,D,432,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04563623,1,2,1,120,D,1,D,04,D,268,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04563813,1,0,1,195,D,1,D,04,D,642,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04563853,1,0,1,170,D,1,D,04,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04564723,1,0,1,195,D,1,D,04,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04564843,1,0,1,100,D,1,D,04,D,1200,D,,A,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04564863,1,0,1,100,D,1,D,04,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04565553,1,0,1,195,D,1,D,03,D,913,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04565573,1,0,1,120,D,1,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04565783,1,0,2,195,D,1,D,02,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04566183,1,0,1,140,D,1,D,04,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04567243,1,0,1,140,D,1,D,03,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04567333,1,0,1,220,D,1,D,04,D,,H,,A,,A,195,D,140,D,,A,,A,,A,,A,,A,,A,,A
20212,04567333,1,1,1,195,D,1,D,04,D,633,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04567333,1,2,1,140,D,1,D,04,D,867,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04567333,2,0,1,220,D,1,D,04,D,,H,,A,,A,160,D,195,D,,A,,A,,A,,A,,A,,A,,A
20212,04567333,2,1,1,160,D,1,D,04,D,372,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04567333,2,2,1,195,D,1,D,04,D,1628,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04567333,3,0,1,220,D,1,D,04,D,,H,,A,,A,220,D,160,D,,A,,A,,A,,A,,A,,A,,A
20212,04567333,3,1,1,120,D,1,D,04,D,230,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04567333,3,2,1,160,D,1,D,04,D,384,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04567333,3,3,1,180,D,1,D,04,D,386,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04567893,1,0,1,210,D,1,D,02,D,400,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04567993,1,0,1,120,D,1,D,05,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04568113,1,0,1,120,D,1,D,05,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04568113,2,0,1,140,D,1,D,05,D,250,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04568113,3,0,1,195,D,1,D,05,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04568293,1,0,1,120,D,1,D,03,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
