QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX,CHCKEFT,CHCKEFT_,REBTUSED,REBT_SED
20212,04425154,3,0,1,160,D,03,D,20,D,,A,,A
20212,04425154,4,0,1,800,D,03,D,1400,D,2,D,2,D
20212,04425174,2,0,1,170,D,01,D,300,D,,A,,A
20212,04425174,3,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04425194,2,0,1,800,D,03,D,2700,D,2,D,3,D
20212,04425244,2,0,1,800,D,02,D,4200,D,2,D,1,D
20212,04425334,4,0,1,170,D,03,D,20,D,,A,,A
20212,04425334,5,0,1,140,D,01,D,72,D,,A,,A
20212,04425374,3,0,1,140,D,01,D,100,D,,A,,A
20212,04425374,4,0,1,150,D,13,D,100,D,,A,,A
20212,04425374,5,0,1,160,D,13,D,200,D,,A,,A
20212,04425374,6,0,1,800,D,03,D,2800,D,2,D,1,D
20212,04425414,4,0,1,170,D,13,D,40,D,,A,,A
20212,04425414,5,0,1,150,D,13,D,450,D,,A,,A
20212,04425414,6,0,1,150,D,02,D,350,D,,A,,A
20212,04425414,7,0,1,800,D,01,D,3600,D,2,D,1,D
20212,04425424,2,0,1,800,D,03,D,2800,D,2,D,2,D
20212,04425514,3,0,1,170,D,13,D,30,D,,A,,A
20212,04425544,2,0,1,150,D,13,D,100,D,,A,,A
20212,04425554,2,0,1,800,D,03,D,2800,D,2,D,3,D
20212,04425594,2,0,1,100,D,13,D,250,D,,A,,A
20212,04425594,3,0,1,140,D,01,D,50,D,,A,,A
20212,04425594,4,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04425634,3,0,1,170,D,13,D,2,D,,A,,A
20212,04425634,4,0,1,140,D,03,D,40,D,,A,,A
20212,04425634,5,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04425634,6,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04425644,2,0,1,800,D,03,D,2800,D,1,D,3,D
20212,04425704,2,0,1,800,D,01,D,5600,D,2,D,3,D
20212,04425754,2,0,1,800,D,01,D,1800,D,2,D,1,D
20212,04425754,3,0,1,800,D,03,D,4200,D,2,D,1,D
20212,04425764,2,0,1,150,D,13,D,100,D,,A,,A
20212,04425764,3,0,1,160,D,03,D,60,D,,A,,A
20212,04425764,4,0,1,800,D,02,D,2800,D,2,D,3,D
20212,04425774,3,0,1,170,D,01,D,300,D,,A,,A
20212,04425774,4,0,1,160,D,13,D,120,D,,A,,A
20212,04425774,5,0,1,800,D,01,D,5600,D,2,D,1,D
20212,04425864,2,0,1,800,D,01,D,1800,D,2,D,3,D
20212,04425874,5,0,1,150,D,13,D,250,D,,A,,A
20212,04425874,6,0,1,800,D,02,D,2400,D,2,D,3,D
20212,04425874,7,0,1,800,D,02,D,2400,D,2,D,3,D
20212,04425874,8,0,1,800,D,02,D,1200,D,2,D,3,D
20212,04425874,9,0,1,800,D,02,D,1200,D,2,D,3,D
20212,04425874,10,0,1,800,D,02,D,1200,D,2,D,3,D
20212,04425904,3,0,1,150,D,13,D,167,D,,A,,A
20212,04425904,4,0,1,800,D,02,D,2800,D,2,D,1,D
20212,04425944,3,0,1,150,D,13,D,260,D,,A,,A
20212,04425944,4,0,1,800,D,03,D,2800,D,2,D,1,D
20212,04425964,4,0,1,130,D,03,D,75,D,,A,,A
20212,04425964,5,0,1,160,D,13,D,10,D,,A,,A
20212,04425964,6,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04426024,3,0,1,800,D,01,D,2192,F,2,D,3,D
20212,04426024,4,0,1,800,D,01,D,2192,F,2,D,3,D
20212,04426034,2,0,1,170,D,13,D,70,D,,A,,A
20212,04426034,3,0,1,150,D,13,D,465,D,,A,,A
20212,04426034,4,0,1,800,D,01,D,2800,D,2,D,3,D
20212,04426044,4,0,1,150,D,13,D,40,D,,A,,A
20212,04426044,5,0,1,800,D,01,D,1200,D,2,D,1,D
20212,04426044,6,0,1,800,D,03,D,2800,D,3,D,1,D
20212,04426074,2,0,1,150,D,13,D,1000,D,,A,,A
20212,04426074,3,0,1,800,D,01,D,891,D,2,D,3,D
20212,04426074,4,0,1,800,D,03,D,1067,D,2,D,3,D
20212,04426104,2,0,1,800,D,03,D,5600,D,2,D,3,D
20212,04426124,2,0,1,800,D,01,D,1200,D,2,D,3,D
20212,04426124,3,0,1,800,D,03,D,2400,D,2,D,3,D
20212,04426174,2,0,1,800,D,03,D,2800,D,2,D,3,D
20212,04426234,2,0,1,120,D,13,D,400,D,,A,,A
20212,04426244,2,0,1,800,D,03,D,2400,D,2,D,2,D
20212,04426254,3,0,1,160,D,13,D,119,F,,A,,A
20212,04426254,4,0,1,800,D,03,D,8400,D,2,D,1,D
20212,04426274,4,0,1,800,D,01,D,1200,D,1,D,1,D
20212,04426344,2,0,1,170,D,02,D,50,D,,A,,A
20212,04426344,3,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04426374,3,0,1,150,D,03,D,100,D,,A,,A
20212,04426374,4,0,1,800,D,02,D,2800,D,2,D,2,D
20212,04426404,3,0,1,800,D,02,D,1400,D,2,D,3,D
20212,04426404,4,0,1,800,D,02,D,1400,D,2,D,2,D
20212,04426504,2,0,1,800,D,01,D,600,D,2,D,1,D
20212,04426504,3,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04426554,2,0,1,170,D,13,D,100,D,,A,,A
20212,04426584,2,0,1,170,D,03,D,200,D,,A,,A
20212,04426584,3,0,1,800,D,03,D,1200,D,2,D,1,D
20212,04426594,4,0,1,150,D,13,D,1500,D,,A,,A
20212,04426594,5,0,1,800,D,03,D,1400,D,2,D,2,D
20212,04426594,6,0,1,800,D,03,D,1400,D,2,D,2,D
20212,04426594,7,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04426594,8,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04426594,9,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04426764,3,0,1,150,D,13,D,176,D,,A,,A
20212,04426764,4,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04426844,2,0,1,800,D,03,D,2800,D,1,D,3,D
20212,04426944,2,0,1,800,D,02,D,2400,D,2,D,2,D
20212,04426974,2,0,1,800,D,03,D,1400,D,2,D,2,D
20212,04426984,2,0,1,800,D,03,D,1400,D,2,D,1,D
