QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_
20212,04423624,19,0,1,260,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423664,15,0,1,150,D,13,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423664,16,0,1,150,D,02,D,1,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423744,10,0,1,380,D,13,D,1,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423764,14,0,1,160,D,02,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423884,26,0,1,140,D,01,D,2,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423884,27,0,1,170,D,13,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423884,28,0,1,170,D,03,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423884,29,0,1,250,D,13,D,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423884,30,0,1,240,D,03,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423884,31,0,1,240,D,03,D,1,D,111,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423884,32,0,2,140,D,01,D,2,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423884,33,0,2,260,D,01,D,1,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423884,34,0,2,260,D,01,D,1,D,154,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423894,13,0,1,250,D,01,D,1,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423904,25,0,1,140,D,03,D,2,D,165,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423904,26,0,1,170,D,13,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423904,27,0,1,370,D,13,D,1,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423904,28,0,1,240,D,13,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423904,29,0,1,250,D,13,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423954,21,0,1,160,D,03,D,1,D,850,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423954,22,0,1,265,D,13,D,1,D,,H,260,D,240,D,,A,,A,,A,,A,,A,,A,,A
20212,04423954,22,1,1,260,D,13,D,1,D,85,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423954,22,2,1,240,D,13,D,1,D,15,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424024,8,0,1,260,D,03,D,1,D,357,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424104,17,0,1,160,D,03,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424104,18,0,1,250,D,13,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424224,9,0,1,240,D,02,D,1,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424234,16,0,1,160,D,03,D,1,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424304,23,0,1,180,D,13,D,1,D,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424304,24,0,1,260,D,01,D,1,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424304,25,0,1,260,D,03,D,1,D,669,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424364,14,0,1,330,D,03,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424364,15,0,1,240,D,03,D,1,D,2150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424384,17,0,1,330,D,03,D,2,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424404,21,0,1,140,D,03,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424404,22,0,1,160,D,03,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424404,23,0,1,340,D,03,D,2,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424404,24,0,1,260,D,03,D,1,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424404,25,0,1,240,D,02,D,1,D,284,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424484,15,0,1,330,D,02,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424484,16,0,1,340,D,03,D,1,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424484,17,0,1,265,D,01,D,1,D,,H,260,D,240,D,,A,,A,,A,,A,,A,,A,,A
20212,04424484,17,1,1,260,D,01,D,1,D,322,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424484,17,2,1,240,D,01,D,1,D,90,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424504,12,0,1,230,D,02,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424504,13,0,1,340,D,03,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
