QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20191,04073311,32,0,1,12,D,70,D,,A,,H,500,D,1,D,2,D,140,D,100,D,,A,,A,,A,,A,,A,,A,,A
20191,04073311,32,1,1,12,D,,B,,A,70,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073341,26,0,1,12,D,150,D,,A,150,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073341,27,0,1,12,D,150,D,,A,150,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073361,31,0,1,12,D,120,D,,A,120,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073411,52,0,1,10,D,60,D,,A,60,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073411,53,0,1,11,D,65,D,,A,65,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073411,54,0,1,12,D,65,D,,A,65,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073421,40,0,1,11,D,85,D,,A,85,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073451,53,0,1,11,D,948,D,,A,,H,500,D,1,D,2,D,380,D,100,D,,A,,A,,A,,A,,A,,A,,A
20191,04073451,53,1,1,11,D,,B,,A,837,E,380,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
