QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,APPRPB9_
20222,04840864,5,0,1,190,D,13,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04840964,9,0,1,190,D,03,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04840964,10,0,1,130,D,05,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04840974,6,0,1,190,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04841094,8,0,1,200,D,04,D,113,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04841114,9,0,1,110,D,05,D,29,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04841164,6,0,1,190,D,05,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04841304,2,0,1,130,D,05,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04841354,12,0,1,190,D,05,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04841524,4,0,1,130,D,05,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04841534,4,0,1,110,D,05,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04841614,13,0,1,190,D,03,D,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04841984,2,0,1,190,D,03,D,79,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04842014,4,0,1,190,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04842014,5,0,1,200,D,05,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04842454,12,0,1,200,D,04,D,151,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04842454,13,0,1,190,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04842484,8,0,1,190,D,13,D,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04842584,3,0,1,190,D,04,D,122,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04842674,8,0,1,190,D,03,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04842674,9,0,1,190,D,05,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04842674,10,0,1,200,D,05,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04842714,7,0,1,190,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04843004,4,0,1,220,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04843114,2,0,2,190,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04843204,6,0,1,100,D,04,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04843204,7,0,1,150,D,04,D,67,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04843294,6,0,1,190,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04843304,2,0,1,190,D,13,D,87,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04843344,6,0,1,190,D,03,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04844094,10,0,1,200,D,03,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04844194,3,0,1,130,D,13,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04844444,12,0,1,120,D,04,D,470,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04844774,4,0,1,200,D,13,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04844944,5,0,1,110,D,04,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04845034,5,0,1,200,D,13,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04845124,6,0,1,190,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04845354,3,0,1,190,D,05,D,516,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04845354,4,0,2,190,D,03,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04845364,5,0,1,200,D,05,D,268,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04845444,10,0,2,190,D,03,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04845684,7,0,1,190,D,05,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04845994,9,0,1,120,D,04,D,81,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846274,3,0,1,200,D,05,D,540,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846384,2,0,1,190,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846384,3,0,1,200,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846654,7,0,1,190,D,13,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846704,4,0,1,110,D,05,D,155,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846704,5,0,1,190,D,13,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04846984,4,0,1,130,D,05,D,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04847224,4,0,1,200,D,03,D,268,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04847664,3,0,1,110,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04848004,6,0,1,220,D,05,D,96,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04848124,5,0,1,190,D,03,D,82,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04848424,8,0,1,200,D,03,D,198,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04848444,9,0,2,190,D,03,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04848594,6,0,1,110,D,05,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
