QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20222,04834944,5,0,1,100,D,1,D,,A,02,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834944,6,0,1,100,D,1,D,,A,04,D,,A,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834944,7,0,2,100,D,1,D,,A,02,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834994,5,0,1,200,D,1,D,,A,13,D,,A,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04835584,2,0,1,200,D,1,D,,A,13,D,,A,920,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04835584,3,0,1,100,D,1,D,,A,13,D,,A,260,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04835624,6,0,1,300,D,1,D,2,D,13,D,,A,2500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04835864,5,0,1,355,D,1,D,1,D,02,D,,A,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04835864,6,0,1,360,D,1,D,1,D,04,D,,A,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04835894,13,0,1,300,D,1,D,1,D,04,D,,A,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836054,5,0,1,300,D,1,D,5,D,04,D,,A,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836104,7,0,1,360,D,1,D,2,D,04,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836104,8,0,1,360,D,1,D,2,D,04,D,,A,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836104,9,0,2,360,D,1,D,2,D,02,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836164,7,0,1,300,D,1,D,1,D,04,D,,A,981,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836194,4,0,1,200,D,1,D,,A,04,D,,A,1150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836344,6,0,1,100,D,1,D,,A,02,D,,A,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
