QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20222,05036361,27,0,1,400,D,04,D,35,D,,A,,A,,A,,A
20222,05036971,27,0,1,420,D,03,D,100,D,,A,,A,,A,,A
20222,05037011,35,0,1,420,D,04,D,90,D,,A,,A,,A,,A
20222,05037071,34,0,1,430,D,04,D,,H,405,D,415,D,,A,,A
20222,05037071,34,1,1,405,D,04,D,281,E,,A,,A,,A,,A
20222,05037071,34,2,1,420,D,04,D,166,E,,A,,A,,A,,A
20222,05037171,50,0,1,430,D,05,D,,H,405,D,415,D,,A,,A
20222,05037171,50,1,1,420,D,05,D,225,E,,A,,A,,A,,A
20222,05037211,37,0,1,410,D,05,D,104,D,,A,,A,,A,,A
20222,05037561,25,0,1,400,D,04,D,115,D,,A,,A,,A,,A
20222,05037561,26,0,1,400,D,04,D,115,D,,A,,A,,A,,A
20222,05037661,57,0,1,410,D,04,D,32,D,,A,,A,,A,,A
20222,05037661,58,0,1,420,D,05,D,180,D,,A,,A,,A,,A
20222,05037671,15,0,1,420,D,05,D,230,D,,A,,A,,A,,A
20222,05037681,72,0,1,400,D,04,D,11,D,,A,,A,,A,,A
20222,05037681,73,0,1,430,D,05,D,,H,410,D,415,D,,A,,A
20222,05037681,73,1,1,410,D,05,D,12,E,,A,,A,,A,,A
20222,05037681,73,2,1,420,D,05,D,65,E,,A,,A,,A,,A
20222,05037781,40,0,1,400,D,03,D,40,D,,A,,A,,A,,A
20222,05037791,23,0,1,420,D,05,D,152,D,,A,,A,,A,,A
20222,05037971,26,0,1,410,D,03,D,35,D,,A,,A,,A,,A
20222,05038051,28,0,1,430,D,05,D,,H,415,D,425,D,405,D,,A
20222,05038051,28,1,1,420,D,05,D,14,E,,A,,A,,A,,A
