QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20231,05017504,31,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,6400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017624,13,0,5,01,D,100,D,,A,3,D,11,D,2021,D,,A,,A,,A,7200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017634,16,0,5,01,D,100,D,,A,3,D,,B,,C,,A,,A,,A,0,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017664,7,0,5,01,D,100,D,,A,3,D,01,D,2021,D,,A,,A,,A,4300,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017674,24,0,5,01,D,100,D,,A,3,D,,B,1996,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017684,14,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,6000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017684,15,0,5,02,D,300,D,,A,3,D,,B,2005,D,,A,,A,,A,2000,F,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20231,05017684,16,0,5,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20231,05017774,17,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017784,15,0,5,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,2700,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017894,28,0,5,01,D,100,D,,A,3,D,,B,2011,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
