QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,SAMP_UN,SAMP_UN_,RTELECT,RTELECT_,RTGAS,RTGAS_,RTWATER,RTWATER_,RTHEAT,RTHEAT_,RTTRASH,RTTRASH_,RTASPAY,RTASPAY_,RTCOMPX,RTCOMPX_,RTBSNSZ,RTBSNSZ_,JRTPAYQV,JRTP_YQV,QRT3MCMX,RTTELEPH,QRT3_CMX,RTTE_EPH,RTTVCABL,RTTV_ABL,RTINTRNT,RTIN_RNT,RTFUNSH,RTFUNSH_,GOVTCOST,GOVT_OST,INCLBDS,INCLBDS_,INCLDRYR,INCL_RYR,INCLFRIG,INCL_RIG,INCLPDS,INCLPDS_,INCLSTOV,INCL_TOV,INCLWSHR,INCL_SHR,PUBLHOUS,PUBL_OUS,OWNED,OWNED_,RTPARK,RTPARK_
20222,04820724,6,0,1,1,D,1,D,1,D,2,D,1,D,1,D,2,D,,A,,A,,A,1725,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20222,04820754,18,0,1,1,D,2,D,2,D,2,D,2,D,1,D,2,D,,A,,A,,A,2460,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20222,04820774,15,0,1,1,D,1,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,3855,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20222,04820894,9,0,1,1,D,2,D,2,D,1,D,2,D,2,D,2,D,,A,,A,,A,2700,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20222,04821054,13,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2775,2,D,D,2,D,2,D,2,D,,C,,C,,C,,C,,C,,C,,C,,C,2,D,1,D
20222,04821124,7,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2550,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20222,04821154,10,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,6000,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,1,D,1,D,1,D,2,D,2,D,2,D
20222,04821334,13,0,1,1,D,,A,,A,,A,,A,,A,1,D,1250,D,,A,0,D,,,A,A,,A,,A,,A,2,D,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A
20222,04821374,5,0,1,1,D,2,D,2,D,1,D,1,D,2,D,2,D,,A,,A,,A,7500,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20222,04821454,27,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,6450,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20222,04821494,12,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,4050,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20222,04821534,22,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,3403,2,F,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,1,D,1,D,2,D,2,D,1,D
20222,04821814,11,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,3240,1,D,D,2,D,2,D,2,D,1,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20222,04821864,14,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,3000,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20222,04821884,21,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,1425,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D
20222,04821914,16,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2700,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20222,04821924,5,0,1,1,D,,B,,B,,B,,B,,B,2,D,,A,,A,,A,3142,,F,B,,B,,B,,B,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,,A,,A
20222,04822034,28,0,1,1,D,2,D,1,D,1,D,1,D,1,D,2,D,,A,0.30,D,,A,3255,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20222,04822104,11,0,1,1,D,1,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,5700,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20222,04822124,15,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2700,2,D,D,2,D,1,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20222,04822144,9,0,1,1,D,2,D,2,D,1,D,2,D,2,D,2,D,,A,,A,,A,753,2,D,D,2,D,2,D,2,D,,A,1,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D
20222,04822314,5,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,1350,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20222,04822464,5,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,2055,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20222,04822684,12,0,1,1,D,2,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,3750,2,D,D,2,D,2,D,2,D,1,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20222,04822714,19,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,12232,2,T,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20222,04822734,17,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,3750,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20222,04822804,10,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2700,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20222,04822934,12,0,1,1,D,2,D,2,D,2,D,2,D,2,D,1,D,795,D,,A,2385,D,0,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20222,04822944,11,0,1,1,D,2,D,2,D,1,D,2,D,2,D,2,D,,A,,A,,A,3750,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20222,04823034,10,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,3900,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20222,04823234,10,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,1350,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20222,04823274,17,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,3075,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20222,04823494,9,0,1,1,D,1,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,2820,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
