QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20222,05034541,10,0,1,01,D,100,D,.0296,D,75000,D,30,D,700,D,,B,,B,,B,,B,385,D,133,D,134,D,134,D,182,D,181,D,181,D,,A,05,D,2021,D,1,D,,A,73685,D,73552,D,73419,D,01,D,,A,,A,,A,,A,,A,,A,,C,,A,2,D
20222,05034601,23,0,1,01,D,100,D,.0296,D,200000,D,20,D,1800,D,3,D,4,D,,A,,A,695,D,625,D,627,D,628,D,480,D,478,D,477,D,,A,06,D,2021,D,1,D,,A,194440,D,193815,D,193188,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05034671,14,0,1,01,D,100,D,.0296,D,150000,D,30,D,889,D,3,D,4,D,,A,,A,260,D,261,D,262,D,262,D,368,D,367,D,367,D,,A,12,D,2021,D,1,D,,A,149221,D,148960,D,148699,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05034791,12,0,1,01,D,100,D,.0641,D,105000,D,20,D,1275,D,3,D,,A,,A,,A,498,D,579,D,582,D,585,D,198,D,195,D,192,D,,A,10,D,2006,D,1,D,,A,37053,D,36474,D,35891,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05034821,22,0,1,01,D,100,D,.0296,D,257000,D,30,D,1727,D,3,D,4,D,,A,,A,649,D,454,D,455,D,456,D,624,D,623,D,622,D,,A,06,D,2021,D,1,D,,A,252964,D,252510,D,252055,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05034891,29,0,1,01,D,100,D,.0425,D,350856,D,30,D,1961,D,3,D,4,D,5,D,,A,235,D,,A,483,D,485,D,,A,1243,D,1241,D,,A,04,D,2022,D,1,D,,A,,A,350856,D,350373,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05034921,30,0,1,01,D,100,D,.0311,D,320000,D,15,D,3256,D,3,D,4,D,,A,,A,1029,D,1457,D,1461,D,1464,D,770,D,766,D,763,D,,A,11,D,2020,D,1,D,,A,297197,D,295741,D,294280,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05034961,19,0,1,01,D,100,D,.0311,D,150000,D,30,D,900,D,,B,,B,,B,,B,259,D,264,D,264,D,265,D,377,D,377,D,376,D,,A,10,D,2020,D,1,D,,A,145622,D,145358,D,145094,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05035001,16,0,1,01,D,100,D,.0296,D,339000,D,30,D,1650,D,,A,4,D,,A,,A,228,D,603,D,605,D,606,D,819,D,817,D,816,D,,A,03,D,2021,D,1,D,,A,331874,D,331271,D,330666,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05035061,9,0,1,01,D,100,D,.0697,F,70000,F,30,F,469,F,3,F,4,F,,A,,A,5,F,243,F,244,F,246,F,221,F,220,F,218,F,,A,05,F,2001,F,1,F,,A,38075,F,37833,F,37588,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
